Date,BNB-USD,BTC-USD,ETH-USD,LINK-USD,MATIC-USD,SOL-USD,XRP-USD
21/9/2020,23.26787949,10462.25977,341.7860718,8.759941101,0.018947,2.782509089,0.232137993
22/9/2020,24.10074043,10538.45996,344.5031738,8.764184952,0.019647,2.915518999,0.233417004
23/9/2020,22.85697746,10246.18652,321.1163025,7.702259064,0.017709,2.836756945,0.221221
24/9/2020,24.61382484,10760.06641,349.3555908,9.817477226,0.018987,3.132714987,0.232905
25/9/2020,24.6633873,10692.7168,352.1832581,10.71136379,0.019145999,3.188611984,0.241922006
26/9/2020,26.22118187,10750.72363,355.4880981,10.34165859,0.018928001,3.134702921,0.242160007
27/9/2020,26.19921684,10775.26953,357.4385071,10.76908016,0.018735999,3.152946949,0.242754996
28/9/2020,26.97960663,10709.65234,355.1594238,10.33355808,0.018886,2.956677914,0.241861999
29/9/2020,28.84297943,10844.64063,359.7573853,10.11501598,0.019675,2.946433067,0.243176997
30/9/2020,29.29087639,10784.49121,359.9378662,9.851209641,0.020152999,2.897876024,0.241784006
1/10/2020,27.4319725,10619.45215,353.2059021,9.649905205,0.01898,2.861027956,0.238249004
2/10/2020,27.28568077,10575.97461,346.2389221,9.224704742,0.018271999,2.626082897,0.234117001
3/10/2020,28.20231056,10549.3291,346.5220947,9.30449295,0.018549999,2.547302961,0.232938007
4/10/2020,28.94385338,10669.58301,352.57901,9.404910088,0.018602001,2.515995026,0.247685
5/10/2020,28.65910339,10793.33984,353.9567871,9.623703003,0.018841,2.657644033,0.250815988
6/10/2020,27.71452713,10604.40625,340.8158569,8.779272079,0.017165,2.176249981,0.245341003
7/10/2020,27.70483589,10668.96875,341.8086548,8.957850456,0.016958,2.291795969,0.248539001
8/10/2020,27.70531082,10915.68555,350.7661438,9.508817673,0.016632,2.36522007,0.251453996
9/10/2020,28.44503021,11064.45801,365.5904846,10.34690189,0.017093999,2.539859056,0.253491014
10/10/2020,28.31248665,11296.36133,370.9675903,10.52479267,0.017207,2.406090021,0.254290015
11/10/2020,28.55558014,11384.18164,375.1420593,10.84740734,0.017855,2.426578045,0.255719006
12/10/2020,30.71468163,11555.36328,387.7312622,11.45290947,0.017905001,2.587071896,0.256446004
13/10/2020,30.70674515,11425.89941,381.1907654,10.99544811,0.017697999,2.404910088,0.25632301
14/10/2020,30.91211891,11429.50684,379.4840393,10.94910908,0.017235,2.314635038,0.249448001
15/10/2020,31.29586411,11495.34961,377.4418335,10.73775196,0.01719,2.2664361,0.24594
16/10/2020,29.99489975,11322.12305,366.2290039,10.61954975,0.016253,2.149385929,0.240443006
17/10/2020,30.2482357,11358.10156,368.8559265,10.65252399,0.016742,2.201843023,0.240931004
18/10/2020,30.65952301,11483.35938,378.2136841,10.88071346,0.016887,2.214267015,0.242225006
19/10/2020,29.9250679,11742.03711,379.9356079,10.88628292,0.016205,2.058079958,0.245964006
20/10/2020,28.80344391,11916.33496,369.1369019,9.878593445,0.015632,1.888671994,0.243572995
21/10/2020,29.77235413,12823.68945,392.1899719,10.80460739,0.016383,1.890377998,0.251614988
22/10/2020,30.65819168,12965.8916,413.7729797,11.93933487,0.017403999,1.955652952,0.256806999
23/10/2020,30.63396072,12931.53906,409.7666931,12.16379547,0.017039999,1.960034966,0.254878998
24/10/2020,30.58882141,13108.0625,412.4576111,12.73154831,0.017682999,1.911828041,0.256431013
25/10/2020,30.10754013,13031.17383,406.2177734,12.16005898,0.017165,1.787459016,0.253212988
26/10/2020,31.15456009,13075.24805,393.8883057,11.74790192,0.016562,1.685466051,0.248687997
27/10/2020,31.63872147,13654.21875,403.9970398,11.9738369,0.015799999,1.710232019,0.252898991
28/10/2020,30.36350632,13271.28516,388.6507568,11.4617424,0.015086,1.490053058,0.245865002
29/10/2020,29.8424778,13437.88281,386.7301025,11.26514053,0.013877,1.428936005,0.242294997
30/10/2020,28.50841141,13546.52246,382.8199768,11.09855747,0.01391,1.441336036,0.239184007
31/10/2020,28.43121529,13780.99512,386.590332,11.22083855,0.013721,1.540699959,0.239743993
1/11/2020,28.46156502,13737.10938,396.3581848,11.53662968,0.014107,1.599840045,0.239796996
2/11/2020,27.88393021,13550.48926,383.1567383,10.79757881,0.013688,1.47407198,0.235421002
3/11/2020,26.85704994,13950.30078,387.6021729,10.38700199,0.012717,1.412233949,0.23951
4/11/2020,26.93151474,14133.70703,402.1419983,10.47258663,0.012251,1.392254949,0.237792999
5/11/2020,27.67585945,15579.84863,414.0673523,10.99066925,0.013477,1.405218005,0.245775998
6/11/2020,29.01799965,15565.88086,454.7192993,12.11807156,0.015509,1.913740039,0.258444995
7/11/2020,27.73809433,14833.75391,435.7131348,11.75722408,0.014393,2.031964064,0.249581993
8/11/2020,28.30511665,15479.56738,453.5547791,12.65603542,0.015735,2.156598091,0.253939003
9/11/2020,28.01802063,15332.31543,444.1630554,12.52073479,0.015634,2.028651953,0.250748008
10/11/2020,28.19334221,15290.90234,449.6796265,13.00346279,0.017314,2.247987032,0.253910989
11/11/2020,27.95617867,15701.33984,462.9605408,12.80753803,0.016603,2.002125025,0.256258994
12/11/2020,27.61480713,16276.34375,461.0052795,12.42322254,0.015860001,1.899137974,0.254902989
13/11/2020,28.18217278,16317.80859,474.6264343,12.8879776,0.016917,2.020792007,0.265190989
14/11/2020,27.9362011,16068.13867,460.1498413,12.57695961,0.016751001,1.917016029,0.268341988
15/11/2020,27.62103081,15955.58789,447.559082,12.12181282,0.016461,2.04323411,0.269641995
16/11/2020,28.0641098,16716.11133,459.9403076,12.59078979,0.01661,2.255354881,0.285519987
17/11/2020,28.53058052,17645.40625,480.3600769,13.24471188,0.017694,2.202181101,0.30240801
18/11/2020,28.07616234,17804.00586,479.4840698,13.59299564,0.017092999,2.115029097,0.294221997
19/11/2020,28.09410477,17817.08984,471.6304321,13.62188244,0.017271999,2.076769114,0.303766012
20/11/2020,28.89199638,18621.31445,509.7445679,14.07827282,0.01787,2.095391989,0.328067988
21/11/2020,30.39129066,18642.23242,549.4866333,15.35593414,0.019757999,2.382205009,0.458344012
22/11/2020,29.92507172,18370.00195,558.0681152,14.44480133,0.019036001,2.144845009,0.443699986
23/11/2020,30.96536827,18364.12109,608.4540405,15.27084446,0.021163,2.276376963,0.613979995
24/11/2020,33.80315018,19107.46484,603.8977661,15.6206646,0.021663999,2.267966986,0.692103028
25/11/2020,31.34296036,18732.12109,570.6866455,14.26096535,0.021295,2.270034075,0.635483027
26/11/2020,28.204916,17150.62305,518.8011475,12.57536316,0.01778,1.903036952,0.533019006
27/11/2020,28.4751873,17108.40234,517.4937134,12.49025917,0.017704999,1.857949018,0.559267998
28/11/2020,29.14391136,17717.41406,538.2297974,13.07834625,0.018750001,1.88893497,0.625621974
29/11/2020,30.1176033,18177.48438,575.7580566,13.37291813,0.018856,1.915155053,0.606245995
30/11/2020,31.39278603,19625.83594,614.8425293,14.22563934,0.019563001,1.96689105,0.664336979
1/12/2020,30.10830307,18802.99805,587.3241577,13.38953495,0.018722,1.976307988,0.612923026
2/12/2020,30.29736137,19201.0918,598.352356,13.98736572,0.019334,2.11540103,0.629893005
3/12/2020,30.70442963,19445.39844,616.7087402,13.97472095,0.020806,2.100370884,0.631483018
4/12/2020,29.0722084,18699.76563,569.354187,12.74124527,0.018871,1.855952978,0.557262003
5/12/2020,29.72948837,19154.23047,596.595459,13.17303753,0.019734001,1.978773952,0.584420979
6/12/2020,29.54080391,19345.12109,601.9089966,13.49239731,0.019571999,1.854249001,0.619850993
7/12/2020,29.37813568,19191.63086,591.8433838,13.08094883,0.019199001,1.831172943,0.608933985
8/12/2020,27.63630676,18321.14453,554.8277588,12.14571381,0.017604999,1.665351987,0.558835983
9/12/2020,28.12930489,18553.91602,573.479126,12.63339043,0.018092999,1.662304044,0.583589971
10/12/2020,27.69618988,18264.99219,559.6785278,11.92219925,0.017771,1.574151039,0.572953999
11/12/2020,27.36100388,18058.9043,545.7973633,11.66010571,0.017498,1.444584966,0.54648298
12/12/2020,28.1644516,18803.65625,568.5673218,12.20915699,0.017868999,1.490911961,0.506401002
13/12/2020,29.1016922,19142.38281,589.663208,12.93370342,0.018099001,1.565456033,0.511464
14/12/2020,30.02957726,19246.64453,586.0111694,12.8275528,0.018384,1.591645956,0.497711986
15/12/2020,29.54728317,19417.07617,589.3555908,12.70547104,0.019489,1.76067102,0.469709992
16/12/2020,30.49019432,21310.59766,636.1818237,13.451087,0.019433999,1.783597946,0.568628013
17/12/2020,30.18413353,22805.16211,642.8689575,13.46713257,0.018958,1.678634048,0.576677024
18/12/2020,30.93836021,23137.96094,654.8119507,13.51119328,0.020599,1.698799968,0.584280014
19/12/2020,33.2963562,23869.83203,659.2979126,13.49218655,0.019982001,1.668650985,0.579163015
20/12/2020,34.16029739,23477.29492,638.2908325,13.07007408,0.01922,1.563575983,0.55605799
21/12/2020,32.26952744,22803.08203,609.8178711,12.34199524,0.018154999,1.541915059,0.516943991
22/12/2020,33.4829483,23783.0293,634.854187,12.79393291,0.018646,1.490285993,0.448448002
23/12/2020,31.09789848,23241.3457,583.7145996,10.83131218,0.015204,1.205692053,0.258601993
24/12/2020,32.50059128,23735.94922,611.6071777,11.57545376,0.016463,1.362408042,0.33781901
25/12/2020,33.16497421,24664.79102,626.4107056,11.54668522,0.016620999,1.44540298,0.318091005
26/12/2020,33.47713852,26437.03711,635.8358154,10.96487427,0.019293999,1.324237943,0.294712991
27/12/2020,33.51184845,26272.29492,682.642334,12.12970829,0.018301001,1.303042054,0.283039004
28/12/2020,35.84455872,27084.80859,730.3973389,12.62838078,0.018873001,1.515684962,0.247958004
29/12/2020,38.95283127,27362.4375,731.5201416,11.77112484,0.018448999,1.674345016,0.220962003
30/12/2020,38.13629913,28840.95313,751.6189575,11.25357533,0.018135,1.535457015,0.211827993
